r,y,pii
8.79,8.814075858,1.634320735
8.71,8.833465928,1.206030151
8.97,8.85387812,0.595829196
9.72,8.873551665,1.283316881
9.92,8.890962589,1.072124756
10.22,8.90075251,1.253616201
7.85,8.908697161,0.285714286
8.18,8.918589366,1.044634378
6.83,8.927702622,1.127819549
7.04,8.943139912,0.650557621
7.05,8.950613746,0.923361034
6.34,8.959839627,-0.457456542
5.96,8.964419757,0.643382353
5.2,8.97443511,0.639269406
5.67,8.979599282,0.272232305
5.61,8.986567248,1.447963801
5.73,8.997729902,1.248884924
6.61,9.00675861,1.321585903
5.68,9.023129321,0.347826087
5.71,9.028737437,0.953206239
6.56,9.041863731,1.287553648
7.25,9.047619304,1.525423729
8.1,9.060778315,0.584307179
8.9,9.070815167,1.493775934
7.99,9.078647859,1.471790679
7.91,9.086085137,0.725221595
7.55,9.088198726,0.88
7.8,9.099087978,2.06185567
7.74,9.102947459,0.932400932
7.14,9.103194374,2.155504234
6.44,9.094633517,0.828937453
5.74,9.089929837,0.896860987
5.54,9.097660468,0.740740741
5.11,9.102449101,0.882352941
3.88,9.1068053,0.510204082
4.05,9.118548496,1.015228426
3.57,9.129514733,0.646087581
2.69,9.139188887,0.784593438
3.08,9.149159195,0.42462845
2.89,9.151021803,1.198026779
3.03,9.156950777,0.557103064
2.92,9.161815558,0.484764543
3.01,9.175076755,0.482425913
3.48,9.184833418,0.960219479
4.15,9.198407862,0.543478261
4.67,9.204287591,0.945945946
5.53,9.215578429,0.200803213
5.7,9.21899065,1.135604542
5.44,9.222478605,0.72655218
5.24,9.23100263,0.459016393
4.96,9.238076738,0.195822454
5,9.244615317,1.433224756
5.04,9.261924629,0.642260758
4.91,9.271132321,0.701978302
5.07,9.281642562,0.506970849
5.21,9.289235468,0.882723834
5.06,9.304208604,0.1875
4.93,9.316861384,0.561447286
5.22,9.324590864,0.062034739
5.02,9.334436416,0.557966522
4.97,9.344088266,0.493218249
4.26,9.357085441,0.36809816
4.37,9.373367482,0.183374083
4.37,9.381320777,0.67114094
4.65,9.389534042,0.727272727
4.74,9.402040727,1.022864019
5.17,9.41924998,0.238237046
5.72,9.422147508,1.723113488
5.71,9.44085906,0.700934579
6.05,9.442061114,0.754060325
5.73,9.447729018,0.172711572
4.2,9.444881365,1.264367816
3.57,9.450168203,1.021566402
2.35,9.447000639,0.168539326
1.71,9.449772068,-0.897363993
1.76,9.458937846,1.188455008
1.67,9.464439963,0.615212528
1.54,9.469296451,0.611450806
1.2,9.469932798,-0.055248619
1.12,9.475099382,1.824212272
0.89,9.484335884,-0.271444083
0.93,9.500944945,0.816548721
0.93,9.512569373,-0.485961123
0.93,9.51830356,1.682040152
1.31,9.525606993,1.227321238
1.68,9.534655293,0.105429626
2.18,9.54326174,0.210637177
2.73,9.553864897,1.576458224
3.06,9.559072505,0.620796689
3.47,9.567438216,2.210796915
3.99,9.573137199,-1.006036217
4.52,9.585079502,1.524390244
4.87,9.588063197,1.551551552
4.77,9.588957134,0
4.89,9.596753811,-0.542138985
4.9,9.597371412,1.760158573
4.68,9.604991486,1.460906151
3.72,9.611694843,0.066234065
3.29,9.615257597,0.741522375
1.36,9.608408187,1.66257213
1.87,9.613359625,2.47602188
0.9,9.608555462,-0.014624226
0.11,9.587199194,-3.910267251
0.21,9.573247118,1.180147269
0.19,9.571892463,1.402855544
0.14,9.575155485,0.127959646
0.06,9.584789485,-0.009260588
0.16,9.589108602,0.778887608
0.18,9.598722595,0.153470783
0.16,9.605449239,0.217466107
0.12,9.611730589,0.338767345
0.09,9.607860737,1.956391808
0.03,9.615108904,1.00909754
0.02,9.61721442,0.517007647
0.02,9.628409383,-0.536385634
0.07,9.633975861,1.648410082
0.09,9.63800621,0.037490409
0.1,9.644155461,0.840603457
0.05,9.644308839,-0.780443115
0.07,9.651072297,1.381527084
0.04,9.655448604,0.314039859
0.02,9.666494665,0.276226531
0.07,9.67509324,-0.469786333
